id	time	src_name	src_addr	src_port	dst_name	dst_addr	dst_port	type
2296251652	1492089268971	sparkMaster	ynalloc1.fyre.ibm.com/172.16.181.46	7077	sparkDriver	172.16.181.46	56458	true
2296251653	1492089269092	sparkMaster	ynalloc1.fyre.ibm.com/172.16.181.46	7077	sparkDriver	172.16.181.46	56458	RequestMessage(dynalloc1.fyre.ibm.com:7077,NettyRpcEndpointRef(spark://AppClient@172.16.181.46:46507),RegisteredApplication(app-20170413061429-0000,NettyRpcEndpointRef(spark://Master@dynalloc1.fyre.ibm.com:7077)))
2296251655	1492089269115	sparkMaster	ynalloc1.fyre.ibm.com/172.16.181.46	7077	sparkDriver	172.16.181.46	56458	RequestMessage(dynalloc1.fyre.ibm.com:7077,NettyRpcEndpointRef(spark://AppClient@172.16.181.46:46507),ExecutorAdded(0,worker-20170413061414-172.16.181.82-37555,172.16.181.82:37555,8,1024))
2296251657	1492089269118	sparkMaster	ynalloc1.fyre.ibm.com/172.16.181.46	7077	sparkDriver	172.16.181.46	56458	RequestMessage(dynalloc1.fyre.ibm.com:7077,NettyRpcEndpointRef(spark://AppClient@172.16.181.46:46507),ExecutorAdded(1,worker-20170413061357-172.16.181.48-40969,172.16.181.48:40969,8,1024))
2296251658	1492089269187	sparkMaster	ynalloc1.fyre.ibm.com/172.16.181.46	7077	sparkDriver	172.16.181.46	56458	RequestMessage(dynalloc1.fyre.ibm.com:7077,NettyRpcEndpointRef(spark://AppClient@172.16.181.46:46507),ExecutorUpdated(0,RUNNING,None,None,false))
2296251659	1492089269190	sparkMaster	ynalloc1.fyre.ibm.com/172.16.181.46	7077	sparkDriver	172.16.181.46	56458	RequestMessage(dynalloc1.fyre.ibm.com:7077,NettyRpcEndpointRef(spark://AppClient@172.16.181.46:46507),ExecutorUpdated(1,RUNNING,None,None,false))
4012483083	1492089270908	driverPropsFetcher	172.16.181.82	59482	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@172.16.181.46:46507),CheckExistence(CoarseGrainedScheduler))
2296251663	1492089271121	sparkMaster	ynalloc1.fyre.ibm.com/172.16.181.46	7077	sparkDriver	172.16.181.46	56458	RequestMessage(dynalloc1.fyre.ibm.com:7077,NettyRpcEndpointRef(spark://AppClient@172.16.181.46:46507),ExecutorAdded(2,worker-20170413061430-172.16.189.65-34002,172.16.189.65:34002,8,1024))
4012483084	1492089271161	driverPropsFetcher	172.16.181.82	59482	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://CoarseGrainedScheduler@172.16.181.46:46507),RetrieveSparkAppConfig)
2296251664	1492089271211	sparkMaster	ynalloc1.fyre.ibm.com/172.16.181.46	7077	sparkDriver	172.16.181.46	56458	RequestMessage(dynalloc1.fyre.ibm.com:7077,NettyRpcEndpointRef(spark://AppClient@172.16.181.46:46507),ExecutorUpdated(2,RUNNING,None,None,false))
77602294	1492089271317	sparkExecutor	172.16.181.82	59484	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@172.16.181.46:46507),CheckExistence(MapOutputTracker))
77602295	1492089271427	sparkExecutor	172.16.181.82	59484	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@172.16.181.46:46507),CheckExistence(BlockManagerMaster))
11603394	1492089271318	driverPropsFetcher	172.16.181.48	58350	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@172.16.181.46:46507),CheckExistence(CoarseGrainedScheduler))
11603395	1492089271517	driverPropsFetcher	172.16.181.48	58350	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://CoarseGrainedScheduler@172.16.181.46:46507),RetrieveSparkAppConfig)
77602296	1492089271630	sparkExecutor	172.16.181.82	59484	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@172.16.181.46:46507),CheckExistence(OutputCommitCoordinator))
77602298	1492089271666	sparkExecutor	172.16.181.82	59484	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@172.16.181.46:46507),CheckExistence(CoarseGrainedScheduler))
77602299	1492089271692	sparkExecutor	172.16.181.82	59484	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://CoarseGrainedScheduler@172.16.181.46:46507),RegisterExecutor(0,NettyRpcEndpointRef(null),172.16.181.82,8,Map(stdout -> http://172.16.181.82:5010/logPage/?appId=app-20170413061429-0000&executorId=0&logType=stdout, stderr -> http://172.16.181.82:5010/logPage/?appId=app-20170413061429-0000&executorId=0&logType=stderr)))
2594130383	1492089271676	sparkExecutor	172.16.181.48	58352	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@172.16.181.46:46507),CheckExistence(MapOutputTracker))
77602300	1492089271899	sparkExecutor	172.16.181.82	59484	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://BlockManagerMaster@172.16.181.46:46507),RegisterBlockManager(BlockManagerId(0, 172.16.181.82, 45351, None),384093388,NettyRpcEndpointRef(null)))
2594130384	1492089271914	sparkExecutor	172.16.181.48	58352	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@172.16.181.46:46507),CheckExistence(BlockManagerMaster))
77602301	1492089271928	sparkExecutor	172.16.181.82	59484	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@172.16.181.46:46507),CheckExistence(HeartbeatReceiver))
2594130385	1492089272108	sparkExecutor	172.16.181.48	58352	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@172.16.181.46:46507),CheckExistence(OutputCommitCoordinator))
2594130386	1492089272268	sparkExecutor	172.16.181.48	58352	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@172.16.181.46:46507),CheckExistence(CoarseGrainedScheduler))
2594130388	1492089272296	sparkExecutor	172.16.181.48	58352	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://CoarseGrainedScheduler@172.16.181.46:46507),RegisterExecutor(1,NettyRpcEndpointRef(null),172.16.181.48,8,Map(stdout -> http://172.16.181.48:5010/logPage/?appId=app-20170413061429-0000&executorId=1&logType=stdout, stderr -> http://172.16.181.48:5010/logPage/?appId=app-20170413061429-0000&executorId=1&logType=stderr)))
2594130389	1492089272388	sparkExecutor	172.16.181.48	58352	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://BlockManagerMaster@172.16.181.46:46507),RegisterBlockManager(BlockManagerId(1, 172.16.181.48, 45363, None),384093388,NettyRpcEndpointRef(null)))
2594130390	1492089272411	sparkExecutor	172.16.181.48	58352	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@172.16.181.46:46507),CheckExistence(HeartbeatReceiver))
79082068	1492089272842	driverPropsFetcher	172.16.189.65	54568	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@172.16.181.46:46507),CheckExistence(CoarseGrainedScheduler))
79082069	1492089273027	driverPropsFetcher	172.16.189.65	54568	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://CoarseGrainedScheduler@172.16.181.46:46507),RetrieveSparkAppConfig)
1063221564	1492089273160	sparkExecutor	172.16.189.65	54570	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@172.16.181.46:46507),CheckExistence(MapOutputTracker))
1063221565	1492089273262	sparkExecutor	172.16.189.65	54570	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@172.16.181.46:46507),CheckExistence(BlockManagerMaster))
1063221566	1492089273463	sparkExecutor	172.16.189.65	54570	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@172.16.181.46:46507),CheckExistence(OutputCommitCoordinator))
1063221567	1492089273509	sparkExecutor	172.16.189.65	54570	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@172.16.181.46:46507),CheckExistence(CoarseGrainedScheduler))
1063221569	1492089273532	sparkExecutor	172.16.189.65	54570	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://CoarseGrainedScheduler@172.16.181.46:46507),RegisterExecutor(2,NettyRpcEndpointRef(null),172.16.189.65,8,Map(stdout -> http://172.16.189.65:5010/logPage/?appId=app-20170413061429-0000&executorId=2&logType=stdout, stderr -> http://172.16.189.65:5010/logPage/?appId=app-20170413061429-0000&executorId=2&logType=stderr)))
1063221570	1492089273626	sparkExecutor	172.16.189.65	54570	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://BlockManagerMaster@172.16.181.46:46507),RegisterBlockManager(BlockManagerId(2, 172.16.189.65, 41539, None),384093388,NettyRpcEndpointRef(null)))
1063221571	1492089273651	sparkExecutor	172.16.189.65	54570	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@172.16.181.46:46507),CheckExistence(HeartbeatReceiver))
77602309	1492089285675	sparkExecutor	172.16.181.82	59484	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://CoarseGrainedScheduler@172.16.181.46:46507),StatusUpdate(0,22,RUNNING,org.apache.spark.util.SerializableBuffer@6a67adc8))
1063221574	1492089285651	sparkExecutor	172.16.189.65	54570	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://CoarseGrainedScheduler@172.16.181.46:46507),StatusUpdate(2,3,RUNNING,org.apache.spark.util.SerializableBuffer@616166f8))
2594130391	1492089285668	sparkExecutor	172.16.181.48	58352	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://CoarseGrainedScheduler@172.16.181.46:46507),StatusUpdate(1,14,RUNNING,org.apache.spark.util.SerializableBuffer@5e184703))
77602306	1492089285672	sparkExecutor	172.16.181.82	59484	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://CoarseGrainedScheduler@172.16.181.46:46507),StatusUpdate(0,4,RUNNING,org.apache.spark.util.SerializableBuffer@74c87e56))
2594130398	1492089285671	sparkExecutor	172.16.181.48	58352	sparkDriver	172.16.181.46	46507	RequestMessage(null,NettyRpcEndpointRef(spark://CoarseGrainedScheduler@172.16.181.46:46507),StatusUpdate(1,11,RUNNING,org.apache.spark.util.SerializableBuffer@26bc1a0a))
